,0,1,2,3,4,5,6,7,8,9,10
HBV00000NE18X,HBV00000NE18X,HBV00000NE0Q8,HBV00000O2S91,HBV00000OELBA,HBV00000QU443,HBV00000NFHIL,HBV00000OEL9W,HBV00000P7VSV,HBV00000NE17Y,HBV00000PVCK0,ZYBICN9286937
HBV00000NE18Z,HBV00000NE18Z,HBV00000O2S5Y,HBV00000PGMYH,HBV00000PV82A,HBV00000U27OT,HBV00000PQM46,HBV00000OE7L1,HBV00000NE1CE,ZYHPCPEPSMGZ011,HBV00000U2B38,AILEMLP5003555
HBV00000NE1F8,HBV00000NE1F8,HBV00000PQL9R,HBV00000PQL7X,ZYBAR8076809501415,HBV00000P7QHA,ZYHPCAYKUDCY020,HBV000004FX7G,HBV00000JHIDM,HBV00000OE7CP,ZYEREN271,ZYHPREISBBKL024
HBV00000NFH1A,HBV00000NFH1A,HBV00000PQP5H,HBV000006IYU4,HBV00000NE144,ZYHPCAYKUDCY016,HBV000006Y7ST,HBV00000PQOR2,HBV00000QX24F,HBV00000PV78G,HBV00000NE1DO,HBV00000SP800
HBV00000NFH8Z,HBV00000PQLC8,HBV00000NFH8Z,HBV00000NFH91,HBV00000F3FE5,HBV00000NVZGE,HBV00000NVZGQ,ZYBAR0869057999061,ZYBAR0869057999063,ZYCOCA2254,ZYHEN100704960,ZYHPDROETTIC303
HBV00000NFHAC,HBV00000NFHAC,HBV00000NFHA4,ZYPYON647800,HBV00000ASP48,PTLIPRO18,HBV00000NFGQC,ZYBICN9286526,ZYHPDROETYRD008,PTRIT5118784,PTTEMPO340104,ZYHEN572412367
HBV00000NG8OX,HBV00000NG8OX,HBV00000U27MQ,HBV00000AX6LR,ZYBAN860031,ZYBAN8690555730198,ZYBAR0869057999061,ZYBAR0869057999063,ZYCOCA2254,ZYHEN100704960,ZYHPDROETTIC303,ZYHPFERROBCK001
HBV00000NVZAO,HBV00000NVZAO,HBV00000NVZA8,HBV00000SP87F,HBV00000NVZAM,HBV00000PNGEK,HBV00000PNGOH,HBV00000SP6Y8,ZYPEYMAN202256,ZYKOM8699300270002,ZYTAD7191033,HBV00000NVZFI
HBV00000NVZBY,HBV00000NVZBY,HBV00000OE7H3,HBV00000UOI76,HBV00000OE7D4,HBV00000PUQDG,HBV00000DQAED,HBV00000OE7QQ,HBV00000NVZB4,HBV00000OE7UF,HBV00000UOI79,HBV00000NVZBO
HBV00000O2SFC,HBV00000O2SFC,ZYUNIL70021056,ZYHPPRINGCPS008,ZYTAD7241080,HBV00000O2SF8,HBV00000O2SEC,HBV00000O2SDO,HBV00000QX270,HBV00000OE7JJ,HBV00000QX26S,ZYNFSG0010390001
